centrale,latitudine,longitudine
Napoli NA01 Oss. Astronomico,40.8637,14.25451
Napoli NA02 Osp. Santobono,40.84937,14.23111
Napoli NA06 Museo Nazionale,40.85416,14.25133
Napoli NA07 Ferrovia,40.85416,14.27174
Acerra Zona Industriale,40.97961,14.40101
Portici Parco Reggia,40.81588,14.34928
Pozzuoli Zona Villa Avellino,40.82293,14.12253
Caserta CE52 Sc. De Amicis,41.07693,14.3312
Maddaloni CE54 Sc. Settembrini,41.04592,14.37808
Casoria Scuola Palizzi,40.91464,14.2986
Torre Annunziata Sc. Pascoli,40.76054,14.43813
Acerra Scuola Caporale,40.94046,14.37019
Avellino AV41 Sc. V Circolo,40.92307,14.78674
Avellino Scuola Alighieri,40.91874,14.78545
Nocera Inferiore Sc. Solimena,40.74027,14.64346
Benevento Zona Industriale,41.14688,14.83613
Benevento BN32 Via Mustilli,41.13145,14.78939
Benevento Campo Sportivo,41.11566,14.77994
Battipaglia Parco Fiume,40.61107,14.97584
Polla Area Tritovagliatore,40.48691,15.528
Cava dei Tirreni Stadio,40.711,14.70245
Salerno SA22 Osp. Via Vernieri,40.68221,14.7663
Salerno SA23 Scuola Conti,40.69535,14.77752
Salerno Parco Mercatello,40.66143,14.80451
Solofra Zona Industriale,40.83548,14.82469
Ariano Irpino Stadio,41.15607,15.09668
